category,quote,author,sport,x_handle,instagram_handle,status,notes
figure_skating,"A figure skater is not just a figure skater who does great jumps. He is an artist on ice.",Alexei Yagudin,Figure Skating,,,retired,2002 Olympic champion
biathlon,"Ole Einar Bjørndalen is one of the greatest of all time. He is a true Olympian and a role model for young athletes around the world.",Thomas Bach,IOC,,,active,IOC President on the King of Biathlon
biathlon,"He raised professional standards for the benefit of everyone. The media coverage we enjoy today would not have been possible without him.",Martin Fourcade,Biathlon,@martinfourcade,@martinfourcade,retired,On Ole Einar Bjørndalen
biathlon,"Silver was like gold for me because it has been a long time since I was on the podium.",Ole Einar Bjørndalen,Biathlon,,,retired,"8x Olympic gold, 95 World Cup wins"
biathlon,"I am proud I achieved what I did, proud I discovered myself along that journey and just a beautiful way to finish it.",Martin Fourcade,Biathlon,@martinfourcade,@martinfourcade,retired,On retirement
biathlon,"Martin pushed everyone at the start line to be a better biathlete.",Johannes Thingnes Boe,Biathlon,@JohannesBoe,@johannesbo,retired,On Martin Fourcade
biathlon,"Very few athletes know what burden one carries throughout the season to end it victorious. It is really, really hard.",Johannes Thingnes Boe,Biathlon,@JohannesBoe,@johannesbo,retired,On winning Overall title
biathlon,"Many years of hard work have gone into magical moments like this.",Martin Fourcade,Biathlon,@martinfourcade,@martinfourcade,retired,5x Olympic champion
ice_hockey,"You miss 100% of the shots you don't take.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,The most famous sports quote ever
ice_hockey,"A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Anticipation wisdom
ice_hockey,"I skate to where the puck is going to be, not where it has been.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Vision and foresight
ice_hockey,"The highest compliment that you can pay me is to say that I work hard every day, that I never dog it.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Work ethic above talent
ice_hockey,"When you win, say nothing. When you lose, say less.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Humility in victory and defeat
ice_hockey,"I wasn't naturally gifted in terms of size and speed; everything I did in hockey I worked for.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Earned success
ice_hockey,"The day I stop giving is the day I stop receiving. The day I stop learning is the day I stop growing.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Growth mindset
ice_hockey,"Hockey is a unique sport in the sense that you need each and every guy helping each other and pulling in the same direction.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Team sports wisdom
ice_hockey,"No matter who you are, we're creatures of habit. The better your habits are, the better they will be in pressure situations.",Wayne Gretzky,Ice Hockey,@WayneGretzky,,retired,Habits and pressure
ice_hockey,"Great moments are born from great opportunity.",Herb Brooks,Ice Hockey,,,retired,Miracle on Ice coach
ice_hockey,"The legs feed the wolf.",Herb Brooks,Ice Hockey,,,retired,On conditioning
cross_country,"It's incredible when I look back and see what I've done.",Marit Bjorgen,Cross-Country,,,retired,Most decorated Winter Olympian ever (15 medals)
cross_country,"I have been lucky to have had the mental strength to be able to give it my all.",Marit Bjorgen,Cross-Country,,,retired,On her 15 Olympic medals
cross_country,"It's difficult to see yourself as a legend. Bjørn Daehlie is really someone I have admired since I was a kid.",Marit Bjorgen,Cross-Country,,,retired,Humility despite records
cross_country,"Being the most successful Winter Games athlete is like a dream come true for me.",Marit Bjorgen,Cross-Country,,,retired,8x Olympic gold medallist
snowboarding,"Some people attach snowboards to their feet, very few attach them to their souls.",Shaun White,Snowboarding,@shaborwn_white,@shaunwhite,retired,3x Olympic halfpipe champion
snowboarding,"I didn't set out to beat the world; I just set out to do my absolute best.",Shaun White,Snowboarding,@shaborwn_white,@shaunwhite,retired,Focus on personal best
snowboarding,"You take a crash, you get back up and next time you succeed and that's a great feeling.",Shaun White,Snowboarding,@shaborwn_white,@shaunwhite,retired,Resilience after falls
snowboarding,"What does it mean to be a snowboarder? It's about pushing yourself to try new things and do the unexpected.",Shaun White,Snowboarding,@shaborwn_white,@shaunwhite,retired,Definition of the sport
snowboarding,"Every time I've had a bad performance at an event, I've come back more determined and focused.",Shaun White,Snowboarding,@shaborwn_white,@shaunwhite,retired,Bouncing back
snowboarding,"To me, snowboarding is really an art form. Every snowboarder has her own style, and that makes them stand out.",Chloe Kim,Snowboarding,@ChloeKim,@chloekimsnow,active,2x Olympic halfpipe champion
snowboarding,"Stay true to your passion.",Chloe Kim,Snowboarding,@ChloeKim,@chloekimsnow,active,Simple wisdom
snowboarding,"I wouldn't even call snowboarding a sport. For me, it's just a way of life.",Travis Rice,Snowboarding,@travisrice,@travisrice,active,Big mountain legend
snowboarding,"There are no rules in snowboarding.",Amy Purdy,Snowboarding,@AmyPurdyGurl,@amypurdygurl,active,Paralympic champion
snowboarding,"The attraction of snowboarding is the freedom it gives you. With a snowboard on your feet, the sky's the limit.",Jeremy Jones,Snowboarding,@JonesSnowboards,@jonessnowboards,active,Big mountain pioneer
bobsled,"Feel the rhythm! Feel the rhyme! Get on up, it's bobsled time!",Cool Runnings,Film,,,fictional,1993 film about Jamaica bobsled team
bobsled,"A gold medal is a wonderful thing. But if you're not enough without it, you'll never be enough with it.",Irv Blitzer (Cool Runnings),Film,,,fictional,Classic film wisdom
bobsled,"I'm standing on the shoulders of giants and trying to inspire the next generation.",Kelly Curtis,Skeleton,,,active,First Black US skeleton Olympian
bobsled,"Those guys have earned the right to walk into that stadium and wave their nation's flag. That's the single greatest honor an athlete can ever have.",Irv Blitzer (Cool Runnings),Film,,,fictional,On representing your country
speed_skating,"When you're a professional athlete in a sport that sucks as much as speed skating sucks, you've got to find a way to make it suck a little less.",Nils van der Poel,Speed Skating,,,active,Swedish Olympic champion - raw honesty
speed_skating,"I love the sport, more than most things, but if you want to keep loving it, you have to work for it. It's like a relationship.",Nils van der Poel,Speed Skating,,,active,On dedication to sport
general,"Pressure is a privilege.",Billie Jean King,Tennis,@BillieJeanKing,@billiejeanking,retired,Universal sports wisdom
general,"Champions aren't made in the gym. Champions are made from something they have deep inside them—a desire, a dream, a vision.",Muhammad Ali,Boxing,,,retired,Inner strength
general,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill,General,,,n/a,Resilience
general,"Hard work beats talent when talent doesn't work hard.",Tim Notke,Basketball,,,n/a,Work ethic over gifts
general,"The more difficult the victory, the greater the happiness in winning.",Pelé,Football,,,retired,Earned joy
general,"It's not the will to win that matters—everyone has that. It's the will to prepare to win that matters.",Bear Bryant,Football,,,retired,Preparation
general,"The mountains are calling, and I must go.",John Muir,Nature,,,n/a,Classic outdoor quote
general,"Powder snow skiing is not fun. It's life, fully lived, life lived in a blaze of reality.",Dolores LaChapelle,Mountaineering,,,retired,Deep powder wisdom
winter_inspiration,"In the mountains, time moves differently.",,Winter Sports,,,n/a,Poetic - no attribution needed
winter_inspiration,"Snow is not just frozen water. It's a chance to start fresh.",,Winter Sports,,,n/a,Poetic - no attribution needed
winter_inspiration,"Skiing is a dance, and the mountain always leads.",,Alpine Skiing,,,n/a,Poetic - no attribution
winter_inspiration,"The sound of blades on ice is the heartbeat of passion.",,Figure Skating,,,n/a,Poetic - no attribution
winter_inspiration,"White lips, pale face, breathing in the snowflakes.",,Winter Sports,,,n/a,Poetic - winter mood
countdown,"Great things are not done by impulse, but by a series of small things brought together.",Vincent van Gogh,Art,,,n/a,Process over results
countdown,"The secret of getting ahead is getting started.",Mark Twain,Literature,,,n/a,Taking action
countdown,"Every champion was once a contender who refused to give up.",Rocky Balboa,Film,,,fictional,Movie inspiration
sport_explainer,"Biathlon: where your heart rate is 180 and you have to hit a target the size of a golf ball.",,Biathlon,,,n/a,Sport fact
sport_explainer,"In ski jumping, athletes reach speeds of 95 km/h before takeoff.",,Ski Jumping,,,n/a,Sport fact
sport_explainer,"A bobsled team experiences up to 5G of force in the turns.",,Bobsled,,,n/a,Sport fact
sport_explainer,"Speed skaters can reach 60 km/h on the ice.",,Speed Skating,,,n/a,Sport fact
sport_explainer,"Figure skaters spin at up to 6 revolutions per second.",,Figure Skating,,,n/a,Sport fact
sport_explainer,"The downhill course at Kitzbühel drops 862 meters in under 2 minutes.",,Alpine Skiing,,,n/a,Sport fact
sport_explainer,"Cross-country skiers have the highest VO2 max of any athletes—some exceed 90 ml/kg/min.",,Cross-Country,,,n/a,Sport fact
